artist	track	wks	t10	pk_rank	pk_streams	total_streams
Vicky Nhung	Khi Cô Đơn Em Nhớ Ai (Lofi)	23	0	27	111890	1241443
Jung Kook	Hate You	5	0	12	543082	1241376
BTS	Dionysus	34	3	6	164604	1241129
Andree Right Hand	Nhạc Anh	21	0	55	117034	1240317
BTS	Jamais Vu	33	2	5	179943	1240235
TWICE	FANCY	56	0	13	48497	1235817
Elton John	Cold Heart - PNAU Remix	30	0	114	46198	1233975
aespa	Armageddon	6	0	30	285523	1232341
IVE	ELEVEN	22	0	41	96007	1228239
Olew	Vườn Hoa Con Cá	9	0	125	160094	1226671
Sabrina Carpenter	Please Please Please	8	0	83	189356	1219546
K-ICM	Phận Hoa Rơi	13	2	3	218508	1217864
Lil Nas X	Old Town Road - Remix	45	0	22	39266	1216113
B Ray	Mùa Hè Năm Đó	6	0	85	270518	1215368
Balming Tiger	SEXY NUKIM	7	2	1	511012	1214719
NewJeans	New Jeans	8	0	26	247560	1212636
NewJeans	Hurt	19	0	94	82333	1209865
TWICE	Feel Special	38	3	5	77952	1203239
RPT MCK	Ai Mới Là Kẻ Xấu Xa	8	0	29	239868	1190423
Jaymes Young	Infinity	21	0	65	69538	1189960
Ariana Grande	yes, and?	6	0	38	388409	1189114
Crush	Rush Hour (Feat. j-hope of BTS)	6	2	2	556322	1187983
Đen	Luôn yêu đời	9	0	13	296642	1184161
Charlie Puth	That’s Not How This Works	9	0	48	195453	1181580
Binz	Sao Cũng Được	38	0	100	38429	1180799
Jimin	Alone	7	1	8	413675	1178924
RAP VIỆT	Một Công Đôi Việc	7	0	32	235573	1177507
Tiên Tiên	Qua Ngay Mai	18	0	100	134250	1172799
BTS	Mikrokosmos	38	3	4	193670	1172704
LE SSERAFIM	EASY	8	0	93	185316	1166992
BLACKPINK	Yeah Yeah Yeah	6	1	7	596566	1162907
SUNI	Ngỏ Lời	10	0	62	155397	1162195
Hà Nhi	Hồi Kết	15	0	81	92445	1161683
RAP VIỆT	Sống Cho Hết Đời Thanh Xuân 4	7	0	31	246843	1158560
BTS	ON (Feat. Sia)	16	4	2	317978	1158303
Jimin	Face-off	7	1	9	405121	1150696
Jeremy Zucker	comethru (bonus track)	21	0	25	62497	1148281
Nguyễn Trọng Tài	HONGKONG12	41	0	22	57561	1145513
Độ Mixi	Độ Tộc 2	15	0	11	129176	1145013
BLACKPINK	Crazy Over You	16	2	4	362343	1136775
10CM	Spring Snow	6	0	58	217623	1131109
Lãng	Đủ trải sẽ thấm	11	0	127	114669	1128829
(G)I-DLE	Queencard	11	0	91	141133	1126026
Harry Styles	Watermelon Sugar	44	0	68	31131	1125993
"ANH TRAI ""SAY HI"""	ĐỀU LÀ CỦA EM	7	0	86	214165	1125617
Hoàng Thùy Linh	Tu Phu	31	2	6	120261	1116292
ERIK	Anh Luôn Là Lý Do	14	0	18	126359	1114920
TAEYANG	Shoong!	11	0	87	137981	1113111
Sub Urban	INFERNO	15	0	11	126140	1105893
BTS	Moon	21	0	11	213851	1104973
KHOA	Tết Đong Đầy	7	0	62	298718	1102236
HWASA	Maria	20	0	14	109911	1101017
BTS	IDOL	56	4	1	82757	1099745
Vũ.	Một Giấc Mơ	27	1	7	111637	1099378
WEAN	MOT NGUOI VI EM	27	0	44	54857	1099122
Bùi Công Nam	Tiến Hay Lùi (Nụ Hôn Bạc Tỷ Original Soundtrack)	3	0	33	468115	1096251
Jung Kook	Please Don't Change	5	0	19	474200	1094929
TGSN	Siren	18	0	31	121256	1089854
Đen	Cảm ơn	44	0	29	52289	1089661
Jimin	Slow Dance	3	1	8	681558	1086162
Dua Lipa	Kiss and Make Up	58	6	1	62392	1082591
Trung Quân	Anh Tự Do Nhưng Cô Đơn	14	0	48	117716	1081028
Wren Evans	Cơn Đau	9	0	17	167425	1080279
Vũ.	Chậm Lại	8	0	13	201755	1078306
Imagine Dragons	Enemy	14	0	27	103548	1073495
Quang Hùng MasterD	Đừng Vì Anh Mà Khóc	7	0	152	164850	1072389
Krix	Cô Gái Này Là Của Ai?	11	0	114	115734	1070258
RPT MCK	Show Me Love	8	0	34	228428	1069718
VSTRA	Đừng để nước mắt rơi	8	0	108	149746	1069521
NewJeans	How Sweet	5	0	20	339991	1059337
The Weeknd	Out of Time	19	0	52	92639	1056957
Doechii	What It Is (Solo Version)	11	0	120	107270	1056261
SHAUN	Way Back Home	50	13	1	74396	1051915
Đen	Diễn viên tồi	8	0	16	248422	1050997
Hoàng Dũng	Đoạn Kết Mới	12	0	17	148403	1043746
ZAYN	I Don’t Wanna Live Forever (Fifty Shades Darker)	92	0	71	20559	1042267
Fujii Kaze	Matsuri	8	0	45	180903	1039863
BTS	00:00 (Zero O’Clock)	18	2	5	241180	1032827
RPT MCK	Va Vào Giai Điệu Này	9	0	50	191288	1032380
Lauv	fuck, i'm lonely	41	0	32	41202	1030410
K-ICM	Chơi Vơi	8	1	3	358550	1024200
RAP VIỆT	Take It Easy	7	0	60	183141	1021814
Taylor Swift	Snow On The Beach	8	1	5	311982	1021630
"ANH TRAI ""SAY HI"""	YOU	7	0	122	171722	1016112
Jack - J97	LayLaLay	14	0	23	140060	1015504
BTS	Stay Gold	21	1	4	145395	1014885
salem ilese	PS5	14	0	38	107512	1012067
Ngọt	01 Chuyện Dở Dang	5	0	27	368503	1011808
Taylor Swift	willow	15	1	9	175654	1010555
Phương Mỹ Chi	Vũ Trụ Có Anh	7	0	46	206158	1010023
KayC	Bao Nhiêu Loài Hoa Remix	7	0	125	160196	1007923
Khoi Vu	Berlin	31	0	115	36154	1006178
Masew	Ái Nộ	21	0	80	55862	1005962
Clean Bandit	Solo	75	3	10	27323	1005911
aespa	Next Level	25	0	63	63910	1005894
ITZY	WANNABE	27	1	4	111593	993873
K-ICM	Victorious	12	2	6	203308	992321
Bình Gold	Trăng Hoa Mây Mưa	7	0	107	180819	990826
梦然	是你	10	0	90	136008	982836
Beat Record	Standing Next to You - Sped Up - Remix	1	1	2	977406	977406
DJ Snake	SG	11	1	2	269968	975290
Madihu	Có Khi	11	0	22	178226	974084
K-ICM	Hẹn Kiếp Tương Phùng	13	0	18	164576	973554
Post Malone	Goodbyes (Feat. Young Thug)	28	1	10	75529	972475
LISA	New Woman	4	0	18	422019	972462
JENNIE	Love Hangover	3	0	31	395976	972381
RPT MCK	Suit & Tie	8	0	47	206740	969788
Jawsh 685	Savage Love (Laxed - Sired Beat)	22	0	24	71538	968434
Jimin	Promise	5	0	11	357723	967822
Em Ellata	Ngày ấy (Yesterday)	6	0	72	217770	965526
Shawn Mendes	There's Nothing Holdin' Me Back	76	0	75	21807	963443
BTS	Blood Sweat & Tears	56	1	10	208080	962318
benny blanco	Eastside	63	1	10	23844	953147
Ariana Grande	no tears left to cry	68	4	1	50366	948629
RAP VIỆT	NÀNG	10	0	147	105261	947724
Marshmello	Be Kind	25	1	10	80350	945813
BLACKPINK	You Never Know	12	1	6	329493	945089
Lady Gaga	Rain On Me	18	2	2	170766	944960
Jung Kook	Somebody	4	0	18	474711	941916
Bùi Công Nam	Tết Này Con Sẽ Về	7	0	56	250113	940938
Thanh Hưng	Tệ Thật, Anh Nhớ Em	14	0	20	156816	936127
Khalid	Talk	45	0	27	31520	935960
MiiNa	11:11	8	0	59	161459	929628
The Weeknd	Die For You - Remix	2	2	3	467429	929263
BABYMONSTER	FOREVER	5	0	54	251154	925326
Hoàng Dũng	Yeu Duoi	26	0	103	42129	922884
Low G	Phong Long	5	0	69	247081	921228
Jin	I’ll Be There	3	0	26	488028	916328
Måneskin	Beggin'	18	0	58	67165	916181
Nicky Youre	Sunroof	19	0	127	51541	912786
SUNI	vào hạ	12	0	51	99575	907851
K-ICM	Một Khi Đã Yêu	10	0	12	175318	906073
Alan Walker	Darkside	67	0	11	23285	903464
MYLINA	Giấc Mơ Của Em - Suy Version	7	0	174	131650	902484
Jung Kook	Too Sad to Dance	4	0	26	429555	899642
iKON	LOVE SCENARIO	80	0	18	30234	898149
RAP VIỆT	The Right Journey	17	0	11	135250	897917
XG	WOKE UP	5	0	55	220863	897705
Andiez	Suýt Nữa Thì	37	0	114	216041	897478
Quang Hùng MasterD	Ánh Mắt Biết Cười	3	0	48	352814	895520
RAP VIỆT	Từ A Đến Z	6	0	53	192516	894309
Noo Phước Thịnh	Năm Qua Đã Làm Gì	7	0	59	266417	894116
Bazzi	Beautiful	62	1	7	26783	893394
Cường Seven	MẸ YÊU CON	5	0	111	216443	890756
Mỹ Tâm	Anh Đợi Em Được Không	35	0	78	29437	889931
K-ICM	Xuân Hy Vọng	10	0	15	144259	889308
TIA	in the dark	20	0	135	62298	889127
Bùi Anh Tuấn	Buông	13	0	145	95847	886702
Shawn Mendes	In My Blood	73	1	6	41977	885581
Martin Garrix	So Far Away	75	0	12	38018	881812
Gaho	시작	22	0	16	80148	880165
aespa	Savage	18	0	18	110286	877561
Justin Bieber	Mistletoe	21	0	24	79394	877510
Sơn Tùng M-TP	Cơn Mưa Xa Dần	9	0	21	183691	876415
GONZO	Dear	6	0	46	183465	876237
BTS	Outro : Ego	15	1	5	194206	875150
HIEUTHUHAI	TRÌNH	4	0	72	279661	873687
Thùy Chi	Nói Chia Tay Thật Khó	18	0	20	101850	873050
Jung Kook	Shot Glass of Tears	4	0	22	446992	872502
SUNI	Sự Mập Mờ	6	0	38	218638	867864
JENNIE	You & Me (Coachella ver.)	4	0	14	405454	867420
Justin Bieber	Holy	15	0	21	92929	867358
Leah Marie Perez	Nothin' on Me	9	0	128	111830	864123
Duncan Laurence	Arcade	24	0	106	48932	862253
Katy Perry	Never Really Over	33	1	8	58304	861882
RAP VIỆT	CHỜ MỘT NGƯỜI	4	0	103	249098	861354
Nguyen Nhat Tu (Ntu)	Ngày Em Đẹp Nhất	8	0	129	117204	859902
Chi Pu	Finding You	5	0	59	216417	858005
TaynguyenSound	Mây Lang Thang	18	0	150	67202	857866
Dua Lipa	New Rules	80	0	50	20334	856850
Orange	Chúng Ta Còn Ở Đó Không? - Tet 2025 Movie “Bộ Tứ Báo Thủ” Original Soundtrack	3	0	44	375774	855450
Mỹ Tâm	Dau Chi Rieng Em	59	9	2	60886	849256
Thùy Chi	Hơn Em Chỗ Nào	12	0	123	79636	847922
Jung Kook	Closer to You	4	0	25	436869	843487
RAP VIỆT	1TINHYEU	4	0	125	238342	842656
Mỹ Tâm	Dung Hoi 'em	63	7	6	40776	840379
PinkPantheress	Boy's a liar Pt. 2	9	0	91	122147	840281
Changg	Sài Gòn Đâu Có Lạnh	14	0	43	85432	839242
Mỹ Tâm	Nếu Anh Đi	39	0	140	26090	836275
BLACKPINK	Ready For Love	5	1	10	434357	835904
Roddy Ricch	The Box	26	0	55	39307	834945
Lil Nas X	THATS WHAT I WANT	17	0	13	125028	834294
Đen	một triệu like	26	0	100	47147	830520
Red Velvet	Feel My Rhythm	10	0	13	177938	828027
Trúc Nhân	Không Ra Gì	4	0	118	214009	814385
RAP VIỆT	Nhà Bao Việc	13	0	11	121132	814343
RAP VIỆT	Trong Sương	7	0	86	136383	813598
Calvin Harris	One Kiss	37	0	14	48863	812159
Ariana Grande	break up with your girlfriend, i'm bored	31	6	2	61400	808798
The Chainsmokers	Hope	50	0	11	26746	798313
BTS	Yet To Come (Hyundai Ver.)	4	1	5	458630	798287
LE SSERAFIM	FEARLESS	17	0	69	74137	797649
BTS	Butter (Holiday Remix)	5	1	3	438327	797398
1 9 6 7	Gió (Lofi)	9	0	141	95202	797042
Justin Bieber	Anyone	12	0	24	111584	796513
(G)I-DLE	Nxde	11	0	63	119869	794134
RAP VIỆT	Người Được Chọn	5	0	45	215305	793854
Steve Aoki	Waste It On Me	40	6	2	92830	792957
Ariana Grande	the boy is mine	5	0	98	190271	789397
5 Seconds of Summer	Youngblood	74	0	18	17868	786207
BTS	Louder than bombs	13	1	7	236177	781725
Orange	Chân Ái	29	0	85	34619	780335
Taylor Swift	Delicate	73	1	8	36439	779853
Lukas Graham	Love Someone	45	1	9	22005	777954
BoyWithUke	Toxic	18	0	70	63575	777543
Dua Lipa	IDGAF	72	1	9	41752	776323
Ellie Goulding	Close To Me	51	0	17	19251	774755
BTS	I Need U	4	1	7	633750	772207
Orange	Tinh Nhan Oi	38	0	84	31600	769381
Masew	Túy Âm	58	0	98	20884	768848
Orange	Có đau thì đau một mình	6	0	97	137517	766555
Đức Phúc	Quá Khứ Đôi, Hiện Tại Đơn	7	0	27	176118	764465
BigDaddy	Mưa Thâm Lặng Giời	4	0	112	209674	763944
j-hope	Chicken Noodle Soup	18	1	10	128748	763405
Taylor Swift	cardigan	12	2	4	185253	760382
RPT MCK	Tối Nay Ta Đi Đâu Nhờ	7	0	55	185614	760342
Shawn Mendes	Monster (Shawn Mendes & Justin Bieber)	13	0	15	136831	759027
ZICO	Any song	18	0	18	64138	757748
Taylor Swift	All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	8	0	11	158894	756004
NewJeans	Cool With You	5	0	15	299555	755689
RAP VIỆT	Tay-Lai Pr0 (Tây-Lai Pr0)	5	0	48	210060	754392
Sơn Tùng M-TP	There's No One At All (Another Version)	7	0	16	178245	754103
Selena Gomez	Souvenir	27	0	58	38307	752222
Winno	Hồng không gai	4	0	128	201517	750391
BTS	Inner Child	13	1	10	225995	749697
BTS	Intro: Singularity	43	0	12	111088	749002
Taylor Swift	Midnight Rain	7	0	14	226668	748186
Ed Sheeran	South of the Border	29	0	24	47046	746564
LISA	Born Again	2	0	30	494373	745540
tlinh	những đốm sáng	6	0	48	210400	744043
Wowy	Thiên Đàng	20	0	100	45587	743644
LE SSERAFIM	Smart	6	0	178	134571	740910
SEVENTEEN	Super	6	0	51	179156	740426
Joji	Die For You	9	0	25	150139	739376
Justin Bieber	Forever	22	0	19	68288	739354
Jason Derulo	Take You Dancing	16	0	34	62109	739033
Naomi Scott	Speechless (Full)	29	0	13	45310	737754
"ANH TRAI ""SAY HI"""	HÚT	5	0	144	154121	737016
JustaTee	GIÀU NHẤT KHU PHÙ HOA	4	0	121	229396	734987
RAP VIỆT	Vành Khuyên Nhỏ	5	0	56	166798	732653
TWICE	The Feels	15	0	23	100231	728320
SOOBIN	Những Kẻ Mộng Mơ	4	0	104	201120	726408
Jimin	Interlude : Dive	3	0	16	367549	719555
Chi Pu	Moi Anh Vao Team Em	38	3	4	39721	719068
Ali Gatie	It's You	40	0	125	21962	715572
Sol7	iceman	19	0	121	44252	713394
RAP VIỆT	BACK TO HOMETOWN (TRỞ VỀ QUÊ NHÀ)	14	0	29	99339	712929
BTS	Lie	10	0	31	133760	711042
Michael Bublé	It's Beginning to Look a Lot Like Christmas	19	0	51	70357	707927
Billie Eilish	LUNCH	4	0	58	224942	707408
RPT MCK	Thờ Er	7	0	75	163422	706099
RAP VIỆT	Truy Lùng Bảo Vật	4	0	38	237352	705160
Sơn Tùng M-TP	Nắng Ấm Xa Dần - Onionn Remix	39	0	24	29121	705138
BTS	Dream Glow (BTS World Original Soundtrack) - Pt. 1	18	2	1	168077	703712
Noo Phước Thịnh	Yêu Một Người Sao Buồn Đến Thế	16	0	45	71728	699999
WIMY	pages	5	0	94	171390	698699
Cường Seven	Trống Cơm	4	0	80	233404	698647
TWICE	I CAN'T STOP ME	13	0	13	109565	697620
NIKI	Every Summertime	13	0	71	71563	692704
WEAN	Thờ ơ	4	0	120	181847	690612
Vũ.	ĐÃ TỪNG LÀ	18	1	10	79298	690461
GREY D	khi cô đơn em nhớ đến ai	13	0	95	69239	685724
Vũ.	Hành Tinh Song Song	48	2	6	30300	684475
BTS	Interlude : Shadow	12	0	12	182205	680803
CKay	love nwantiti (ah ah ah)	17	0	84	56662	680461
Mỹ Tâm	Vì Em Tất Cả	4	0	61	225383	680461
FIFTY FIFTY	Cupid - Twin Version	3	0	26	280194	678826
Bobby Helms	Jingle Bell Rock	17	0	42	69914	678502
Jessi	ZOOM	10	0	50	94412	678399
NAYEON	POP!	11	0	61	94368	678343
Mỹ Tâm	Biet Khi Nao Gap Lai	60	0	13	31601	677710
Phạm Nguyên Ngọc	Quên Đặt Tên	13	0	119	56740	677294
Quang Trung	Chân Tình	15	0	92	58941	677003
Jimin	Rebirth (Intro)	2	0	14	536158	674569
BTS	Trivia 轉 : Seesaw	20	4	3	312391	674210
Obito	Sài Gòn ơi	5	0	68	180255	671447
Jung Kook	3D (Alternate Ver.)	2	1	6	554092	670866
ERIK	Lac Nhau Co Phai Muon Doi. - Original	33	0	133	24307	668232
Winno	Tell Ur Mom II - Gii, Hiderway Remix	16	0	115	49047	667579
Billie Eilish	idontwannabeyouanymore	53	0	82	18461	666092
Billie Eilish	Therefore I Am	14	0	28	92499	660961
BTS	Butter (Instrumental)	9	0	19	160679	660906
DMT	2GOILAYS	3	0	102	238434	660637
Sia	Thunderclouds	41	8	2	31837	659873
Central Cee	BAND4BAND	5	0	135	145117	658712
Lauv	Paris in the Rain	52	0	82	24801	658431
Imagine Dragons	Bones	12	0	70	75120	657555
Vũ Cát Tường	Người Bình Thường	5	0	173	138657	657375
RAP VIỆT	HUSTLANG ALL DAY	3	0	98	259467	656255
MONO	Quên Anh Đi	10	0	49	113802	652458
Crush	Love You With All My Heart	4	0	73	205846	652206
Kate Bush	Running Up That Hill (A Deal With God)	10	0	71	82502	647513
Post Malone	Better Now	64	1	5	21044	647410
JEON SOMI	What You Waiting For	13	0	23	91541	646555
kidsai	TALAGI	4	0	133	183682	645153
RAP VIỆT	Hot Shot, Dlow	6	0	102	120813	643049
BTS	Serendipity - Full Length Edition	10	0	28	124193	642510
Mỹ Tâm	Khi Ta Yeu (Nhac Phim Chi Tro Ly Cua Anh)	38	0	18	23967	642110
ECLIPSE	Sudden Shower	5	0	152	136611	642075
Calum Scott	You Are The Reason	53	0	99	21718	640331
IVE	Kitsch	5	0	62	168660	639992
Bích Phương	Một Cú Lừa (Đu Đưa Version)	12	0	12	85722	637822
BENEE	Supalonely	19	0	41	48214	636900
Hoàng Thùy Linh	The Creaking	18	2	8	120698	636149
Hồ Ngọc Hà	Cự Tuyệt	14	0	19	99675	636135
Agust D	HUH?!	3	1	10	395138	636002
Camila Cabello	Liar	17	0	15	58565	634192
Chillies	Giá Như	14	0	19	125723	631824
TWICE	MORE & MORE	15	1	5	122748	629993
Luxuyen	Đó Chỉ Là Thành Phố Của Anh	5	0	173	135062	629362
Sơn Tùng M-TP	CHẠY NGAY ĐI - Onionn Remix	22	0	14	63260	626206
Billie Eilish	bury a friend	29	1	7	32087	625179
VCC Left Hand	Mình Lượn Lờ Làm Wen (NOVINA)	3	0	83	259963	625108
Jimin	Christmas Love	4	0	39	227176	624976
BABYMONSTER	BATTER UP	4	0	93	176175	624532
SLANDER	Love Is Gone - Acoustic	21	0	155	34446	623975
Dean Lewis	Be Alright	48	0	12	19673	622971
Vicky Nhung	Không Muốn Một Mình	4	1	5	248710	619756
Billie Eilish	Happier Than Ever	10	0	14	130917	617808
RAP VIỆT	Người Ấy Là Ai	10	0	27	92398	617583
tlinh	làm lành chữa tình	5	0	55	203972	616066
Meghan Trainor	Title	13	0	69	66924	614445
Lil Mosey	Blueberry Faygo	23	0	67	35656	612623
Rapital	Thủ Đô Cypher (RPT Phongkhin Remix)	5	0	147	138091	612333
Sweet Liquor	thế giới có nơi nào cho em	8	0	142	89194	611822
RAP VIỆT	Chú Chó Trên Ô Tô	10	0	17	114168	611786
RAP VIỆT	TRAI HỌ VŨ	3	0	120	212839	610765
Charmy Pham	Ra Là Em Đâu Quá Mong Manh	27	0	28	34835	602548
Đông Nhi	Người Ôm Pháo Hoa (The Moon In The Sun)	4	0	57	181934	602490
Vũ.	Lời Yêu Em	24	0	162	35897	602163
Taylor Swift	Lavender Haze	6	0	12	228834	600637
Czee	Đâu Ai Dám Hứa	7	0	137	98682	597744
ITZY	달라달라 (DALLA DALLA)	30	0	15	33362	596780
TYSM	Normal No More	13	0	95	58180	596130
Taylor Swift	The Man	19	2	4	96158	593417
Anson Seabra	Peter Pan Was Right	12	0	108	59627	592796
Dua Lipa	Physical	16	0	26	60687	590566
Ngơ	Tình Đắng Như Ly Cà Phê	26	0	76	33217	584858
BTS	UGH!	11	0	12	203096	584692
Chị Đẹp Đạp Gió Rẽ Sóng	Anh - Uyên Linh Version	4	0	115	166835	584352
BTS	Butter - Megan Thee Stallion Remix	4	1	2	446193	582979
Adele	Someone Like You	68	0	77	45099	582649
Ed Sheeran	The Joker And The Queen	5	0	17	147853	581154
Táo	2 5	15	0	164	52614	578653
Mr.Siro	Một Bước Yêu Vạn Dặm Đau	6	0	169	113419	575622
So!YoON!	Smoke Sprite	4	0	33	245067	574949
GOT the beat	Step Back	12	0	57	76412	574222
SOOBIN	Trò Chơi	10	0	34	90664	568870
Agust D	Life Goes On	3	0	14	344481	568352
K-ICM	BOY	7	1	5	204235	567022
Christina Perri	A Thousand Years	59	0	111	15282	564227
Kevindauroi	Đừng Xa Anh Nhé	4	0	137	147218	560548
SOOBIN	Tình Cờ	3	0	101	222031	560369
Sơn Tùng M-TP	Lạc Trôi	30	0	38	34769	559790
Olly Murs	That Girl	40	7	2	38880	558650
Hà Nhi	Vì Em Chưa Bao Giờ Khóc	5	0	80	137120	555781
Halsey	Graveyard	19	0	42	38694	555554
Drake	Toosie Slide	14	0	35	55474	554122
G-DRAGON	HOME SWEET HOME	2	0	68	288056	550986
Tiên Fami	Điều Ta Viết Mùa Xa Nhau	12	0	124	51921	549208
BTS	Magic Shop	34	2	6	66139	548914
RAP VIỆT	CẢM NHẬN	9	0	23	110354	548697
BTS	Your eyes tell	16	0	48	55897	548600
Na	Không Bằng - Rin Music Remix	13	0	116	48944	547708
Taylor Swift	All Of The Girls You Loved Before	4	0	54	185308	544232
Gabry Ponte	Thunder	13	0	84	48940	542211
Mỹ Tâm	Người Hãy Quên 'Em Đi	24	0	114	27638	539998
Oliver Tree	Life Goes On	10	0	47	78607	539202
16 Typh	M.	4	0	61	173397	538379
TWICE	Talk that Talk	6	0	24	165134	538220
Camila Cabello	My Oh My	19	0	56	35439	537969
The Chainsmokers	Who Do You Love	28	0	19	27308	532490
Surfaces	Sunday Best	20	0	87	31232	531396
Đen	Ngày Khác Lạ	41	0	94	25399	530960
RAP VIỆT	Chim Sẻ Và Dâu Tây	11	0	26	108367	530102
LE SSERAFIM	UNFORGIVEN	5	0	98	137199	529699
Ngọt	Mất Tích	4	0	82	161461	525685
Libianca	People	4	0	75	164970	523887
Khalid	Better	42	4	5	19834	522605
Halsey	SUGA's Interlude	12	1	5	109511	521548
B Ray	Ex's Hate Me	5	0	141	110408	521408
BTS	Heartbeat (BTS World Original Soundtrack)	16	1	6	107031	520000
Bích Phương	Đố Anh Đoán Được	6	0	23	131050	519148
Hngle	Cô Đơn	6	0	66	113147	518818
RAP VIỆT	Tèn Tèn Girls!	9	0	23	113367	516579
BTS	A Brand New Day (BTS World Original Soundtrack) [Pt. 2]	12	2	1	129165	514818
Cardi B	Up	13	0	68	53579	513847
Kay Trần	NẮM ĐÔI BÀN TAY	11	0	39	89291	512824
Ariana Grande	Don’t Call Me Angel (Charlie’s Angels)	11	2	2	111289	512227
Billie Eilish	Your Power	5	0	18	164965	510956
Taylor Swift	august	9	0	31	99602	509358
Phùng Khánh Linh	ƯỚC ANH TAN NÁT CON TIM	3	0	118	177414	508507
Shawn Mendes	It'll Be Okay	10	0	53	82657	507177
SUNI	dằm trong tim	6	0	43	114748	506907
BLACKPINK	DDU-DU DDU-DU - KR Ver.	30	6	2	37482	506616
Brenda Lee	Rockin' Around The Christmas Tree	13	0	66	65431	506283
Studio Party	Và Ngày Nào Đó	11	0	109	54096	505627
Charlie Puth	I Warned Myself	18	0	20	49361	504799
Ed Sheeran	Happier	62	0	67	13436	503658
Why Don't We	What Am I	25	0	58	35700	502765
ZAYN	A Whole New World (End Title)	22	0	17	41310	502759
Lil Nas X	Old Town Road	19	1	6	79851	501388
AMEE	mama boy	15	0	32	63470	501372
Jack - J97	Ngôi Sao Cô Đơn	7	0	23	132893	499909
BLACKPINK	THE GIRLS - BLACKPINK THE GAME OST	3	0	24	270956	499218
The Weeknd	Reminder	6	0	151	87319	498262
Miley Cyrus	Prisoner	9	0	35	99736	498200
Ariana Grande	eternal sunshine	3	0	91	197457	497623
RPT MCK	Cuốn Cho Anh Một Điếu Nữa Đi	5	0	90	150205	496454
Kai Đinh	Thế Hệ Tan Vỡ	13	0	120	44990	496204
Halsey	You should be sad	12	0	28	60430	495971
"ANH TRAI ""SAY HI"""	ĐOÁ PHÙ DUNG CUỐI CÙNG	3	0	131	177747	493504
The Chainsmokers	This Feeling	41	0	15	15941	493144
Ngọt	02 Mơ Làm Ma	2	0	41	321439	491646
Chillies	Đại Lộ Mặt Trời	3	0	99	195904	489570
HIEUTHUHAI	Giờ Thì Ai Cười	3	0	49	228419	488839
Alan Walker	Faded	63	0	88	14431	486687
Winno	Tell Ur Mom II	11	0	92	55545	486078
RAP VIỆT	Ala Ela	9	0	22	113698	485460
Quang Đăng Trần	Đánh Mất Em (Lofi Ver.)	17	0	139	31010	484554
Hoàng Dũng	Ném Câu Yêu Vào Không Trung	5	0	31	140011	483833
Vũ Cát Tường	Hành Tinh Ánh Sáng	9	0	44	76824	482795
Jin	Another Level	2	0	54	324027	482792
MAMAMOO	HIP	18	0	49	36813	482683
JISOO	earthquake	1	0	32	481655	481655
AURORA	Runaway	12	0	87	50551	480528
BLACKPINK	Forever Young	34	2	3	48343	480379
Lil Wuyn	Mở Mắt	4	0	63	154954	479638
Lauv	There's No Way	33	1	9	20458	477814
Megan Thee Stallion	Sweetest Pie	10	0	60	78792	476083
Jin	Heart on the Window	2	0	57	308041	475816
Sơn Tùng M-TP	Sky Tour Intro	7	2	5	119460	475547
blackbear	hot girl bummer	19	0	55	31231	474452
Rayo	Cẩm Tú Cầu	4	0	187	120401	473875
Shawn Mendes	Lost In Japan	39	0	46	17696	472963
Ariana Grande	bye	3	0	93	194021	472546
Taylor Swift	Down Bad	2	0	30	322872	471279
Đen	Rapcoustic 5	19	0	46	40374	468992
K-ICM	Hoa Ngũ Sắc	5	0	15	169904	468855
BLACKPINK	Pretty Savage - JP Ver.	13	0	49	70084	467366
Kay Trần	Nước Hoa	3	0	112	163271	466864
NewJeans	Supernatural	3	0	73	206495	466008
Jin	Falling	2	0	60	303728	465344
Taylor Swift	exile	9	1	9	131585	462808
Agust D	D-Day	3	0	23	258204	461938
aespa	Spicy	4	0	98	142533	461369
Chillies	Trên Những Đám Mây	4	0	88	151337	461271
TAEYEON	INVU	7	0	42	102301	460313
Sasha Alex Sloan	Older	33	0	108	20987	459520
Alex & Sierra	Little Do You Know	47	0	141	16481	457568
Mỹ Tâm	Neu Co Buong Tay	50	0	19	26488	456585
Trịnh Thăng Bình	Khác Biệt To Lớn Hơn	6	0	51	104267	456423
Doja Cat	Boss Bitch	14	0	52	41672	455724
RAP VIỆT	Khúc Ca Vàng	4	0	109	129349	455503
ERIK	Người Lạ Trong Danh Bạ	4	0	96	129394	454822
j-hope	Airplane	1	1	1	454813	454813
RM	Still Life	3	1	8	270873	454546
Selena Gomez	Rare	9	1	10	88816	454445
"ANH TRAI ""SAY HI"""	NGÂN NGA	3	0	128	168472	453954
Ed Sheeran	Afterglow	7	0	28	113578	452321
BTS	Butter (Hotter Remix)	7	0	41	106094	451506
Hoà Minzy	Mashup Ngày Chưa Giông Bão, Always Remember Us This Way	10	0	76	55334	450338
GREY D	nhạt-fine	3	0	110	174237	450221
Ed Sheeran	Thinking out Loud	62	0	85	14657	449008
IU	Celebrity	8	0	40	89881	448904
Chi Pu	Cung Đàn Vỡ Đôi	11	1	7	102619	448113
BTS	Respect	9	0	13	164498	447394
Sam Smith	Fire On Fire	24	1	10	27729	446978
RM	Lonely	3	1	7	272459	446821
